match_id,Mean_Price,Median_Price,Std_Price,Min_Price,Max_Price,Store_Count,Product_Name,Category,Brand,Median_Quantity,Price_Range,Price_Spread_Ratio,CV,IQR
9586,1777.78,1777.78,0.0,1777.78,1777.78,1,KERNEL POPCORN NATURAL 90 GM,Snacks & Confectioneries,kernel,0.09,0.0,1.0,0.0,0.0
9587,1722.22,1722.22,0.0,1722.22,1722.22,1,KERNEL POPCORN NATURAL 270 GM,Snacks & Confectioneries,kernel,0.27,0.0,1.0,0.0,0.0
9588,533.33,533.33,0.0,533.33,533.33,1,ADAMS NATURAL SWEETENED YOGHURT 450 GM,Dairy,adams,0.45,0.0,1.0,0.0,0.0
9589,613.33,613.33,0.0,613.33,613.33,1,PREMA NATURAL YOGURT 375 GM,Dairy,prema,0.375,0.0,1.0,0.0,0.0
9590,10975.0,10975.0,0.0,10975.0,10975.0,1,PRESIDENT NATURAL 4 CHEESE 200G,Dairy,president,0.2,0.0,1.0,0.0,0.0
9591,716.98,716.98,0.0,716.98,716.98,1,Lifebuoy Nature 106GM,,lifebuoy,0.106,0.0,1.0,0.0,0.0
9595,1500.0,1500.0,0.0,1500.0,1500.0,1,Fruitien Nectar Peach 200ML X6,,fruitien,0.2,0.0,1.0,0.0,0.0
9600,3000.0,3000.0,0.0,3000.0,3000.0,1,Nestle Milkpak  UHT 1L x12,,milkpak,1.0,0.0,1.0,0.0,0.0
9601,11200.0,11200.0,0.0,11200.0,11200.0,1,Nestle Cerelac 3 Fruit and Wheat 25GM x 8,,cerelac,0.025,0.0,1.0,0.0,0.0
9602,16153.85,16153.85,0.0,16153.85,16153.85,1,Nestle Bunyad 26 GM X12,,bunyad,0.026,0.0,1.0,0.0,0.0
9603,4820.0,4820.0,4907.594115246288,340.0,9300.0,1,Nestle Milkpak 250ML,,milkpak,0.25,8960.0,27.352941176470587,1.0181730529556614,8960.0
9604,1800.0,1800.0,0.0,1800.0,1800.0,1,Nestle Cerelac 3 Fruits 350 GM,,cerelac,0.35,0.0,1.0,0.0,0.0
9605,2213.33,2213.33,0.0,2213.33,2213.33,1,Nestle Nido 1+ 375 GM,,nido,0.375,0.0,1.0,0.0,0.0
9606,2500.0,2500.0,0.0,2500.0,2500.0,1,Nestle Lactogen 1 400 GM,,lactogen,0.4,0.0,1.0,0.0,0.0
9607,2694.44,2694.44,0.0,2694.44,2694.44,1,Nestle Nido 1+ 900GM,,nido,0.9,0.0,1.0,0.0,0.0
9608,160.0,160.0,0.0,160.0,160.0,1,DARE NEXT 300ML,Food & Beverages,dare,0.3,0.0,1.0,0.0,0.0
9609,144.9275,144.93,10.957190398481327,130.43,159.42,1,NEXT STORM 345 ML,Food & Beverages,storm,0.345,28.98999999999998,1.2222648163766003,0.07560463265067931,7.247500000000002
9610,130.0,130.0,0.0,130.0,130.0,1,COLA NEXT 500 ML,Food & Beverages,cola,0.5,0.0,1.0,0.0,0.0
9611,102.0,102.0,0.0,102.0,102.0,1,FIZZUP NEXT 1000 ML,Food & Beverages,fizzup,1.0,0.0,1.0,0.0,0.0
9612,86.67,86.67,0.0,86.67,86.67,1,COLA NEXT 1500 ML,Food & Beverages,cola,1.5,0.0,1.0,0.0,0.0
9613,2490.0,2490.0,0.0,2490.0,2490.0,1,DE NIGRIS RICE VINEGAR 500 ML,Food & Beverages,de,0.5,0.0,1.0,0.0,0.0
9614,1687.5,1687.5,0.0,1687.5,1687.5,1,SUREE RICE STICK NODDLES 5MM 400 GM,Food & Beverages,suree rice,0.4,0.0,1.0,0.0,0.0
